City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Komsomolskiy,UZ,66.2,clear sky,40.43,71.72,Ikathouse
96,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
97,Bokaro,IN,80.49,overcast clouds,23.78,85.97,Bineshwar Hotel
98,Khatanga,RU,50.92,broken clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
99,Shetpe,KZ,60.22,clear sky,44.17,52.12,Rtsm Shetpe Analog
100,Iranshahr,IR,75.2,clear sky,27.2,60.68,کافی نت دانشگاه
101,Innisfail,AU,70.0,light rain,-17.53,146.03,Moondarra Motel
102,Mahebourg,MU,68.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
104,Zhanaozen,KZ,59.45,clear sky,43.3,52.8,K.korabay 28A
105,Astana,KZ,55.4,clear sky,51.18,71.45,King Hotel Astana
106,Cam Ranh,VN,86.0,few clouds,11.92,109.16,OYO 598 Peony Hotel
107,Nizwa,OM,80.78,overcast clouds,22.93,57.53,Orient Apartments
108,Santiago Del Estero,AR,61.32,overcast clouds,-27.8,-64.26,Hotel Urbano
109,Fort Nelson,CA,50.0,few clouds,58.81,-122.7,The Fort Nelson Hotel
110,Bambous Virieux,MU,68.0,broken clouds,-20.34,57.76,Casa Tia Villa
111,Samarinda,ID,78.89,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
113,Yarmouth,US,66.2,clear sky,41.71,-70.23,The Inn At Cape Cod
114,Galesong,ID,84.2,few clouds,-5.32,119.37,Sapriadi Appy
115,Port Hedland,AU,87.8,overcast clouds,-20.32,118.57,The Esplanade Hotel
118,Tiassale,CI,71.62,overcast clouds,5.9,-4.83,Hotel Renaissance
120,Warrnambool,AU,55.0,scattered clouds,-38.38,142.48,Lady Bay Resort
121,Nanakuli,US,87.8,clear sky,21.39,-158.15,Camp Palehua
122,Victor Harbor,AU,57.99,few clouds,-35.57,138.62,Apollon Motor Inn
123,Gushikawa,JP,84.2,broken clouds,26.35,127.87,Kirari Guest House
124,Lata,PT,66.99,clear sky,40.16,-8.33,Casa Maquia
125,Sorong,ID,81.21,scattered clouds,-0.88,131.25,The Waigo Hotel
126,Barra Do Garcas,BR,76.89,clear sky,-15.89,-52.26,Hotel Pousada Tropical
127,Hobart,AU,59.0,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
128,Sao Filipe,CV,78.91,overcast clouds,14.9,-24.5,Tortuga B&B
129,Puerto Escondido,MX,80.6,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
130,Qeshm,IR,78.8,clear sky,26.96,56.27,Kimia IV Hotel
131,Huilong,CN,73.0,moderate rain,31.81,121.66,Hilton Garden Inn Qidong
132,Zalantun,CN,57.47,overcast clouds,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
134,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
135,Pacific Grove,US,64.99,smoke,36.62,-121.92,Lovers Point Inn
136,Nesbyen,NO,53.01,broken clouds,60.57,9.1,Nesbyen Event
137,Bethel,US,60.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
138,Yelizovo,RU,62.6,clear sky,53.19,158.38,Kamchatskiy Stil' Hostel
139,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
140,San Policarpo,PH,83.52,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
141,Hailey,US,82.4,smoke,43.52,-114.32,Wood River Inn & Suites
142,Kenai,US,57.99,clear sky,60.55,-151.26,Aspen Extended Stay Suites
144,Puerto Ayora,EC,66.99,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
145,Odoyev,RU,51.66,scattered clouds,53.94,36.69,Odoyev.Sky
147,Pamanukan,ID,83.88,overcast clouds,-6.28,107.81,Paris Day Hotel Pamanukan
148,Liepaja,LV,59.0,clear sky,56.54,21.04,Promenade Hotel
149,Leua,SK,66.99,clear sky,48.22,18.61,Business Hotel ASTRUM Laus
150,Linxia,CN,52.45,few clouds,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
151,Makakilo City,US,87.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
152,Waipawa,NZ,60.8,clear sky,-41.41,175.52,Tora Coastal Walk
153,Cabo San Lucas,MX,89.01,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
155,Coihaique,CL,46.4,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
156,Palembang,ID,77.0,few clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
157,Kutum,SD,74.88,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
158,Kavieng,PG,84.76,light rain,-2.57,150.8,Nusa Island Retreat
160,Comodoro Rivadavia,AR,55.92,overcast clouds,-45.87,-67.5,Austral Hotel
161,Livingston,GB,60.01,overcast clouds,55.9,-3.52,Mercure Livingston Hotel
162,Shache,CN,64.15,overcast clouds,38.42,77.24,Delong Hotel
163,Hambantota,LK,77.0,few clouds,6.12,81.12,Bungalow 63
164,Anadyr,RU,50.0,broken clouds,64.75,177.48,"Гостиница ""Анадырь"""
165,Yellowknife,CA,48.2,broken clouds,62.46,-114.35,The Explorer Hotel
166,Starogard Gdanski,PL,57.99,overcast clouds,53.96,18.53,Hotel Ren
167,Hithadhoo,MV,81.21,overcast clouds,-0.6,73.08,Scoop Guest House
169,Guerrero Negro,MX,83.28,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
170,Necochea,AR,46.99,clear sky,-38.55,-58.74,dyd -mar Hotel
171,Basco,PH,84.67,scattered clouds,20.45,121.97,Nathaniel's Lodge
172,Presidente Medici,BR,84.97,clear sky,-11.18,-61.9,Oliveira Palace Hotel
173,Khani,GE,73.4,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
174,Bahia De Caraquez,EC,75.2,broken clouds,-0.6,-80.42,La Piedra Hotel
175,Inirida,CO,75.42,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
176,Coffs Harbour,AU,71.6,few clouds,-30.3,153.13,Aquajet Motel
177,Ingham,US,55.0,clear sky,42.6,-84.38,Sunset Place
179,Katherine,AU,87.8,scattered clouds,-14.47,132.27,Pine Tree Motel
180,Beringovskiy,RU,47.66,scattered clouds,63.05,179.32,Beringgorski
182,Ewa Beach,US,87.8,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
183,Wasilla,US,60.8,clear sky,61.58,-149.44,Alaska's Select Inn Wasilla
184,Montepuez,MZ,64.36,broken clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
185,Beloostrov,RU,52.0,clear sky,60.15,30.0,Kapitan Flint Hotel
186,Sicamous,CA,72.0,overcast clouds,50.83,-118.99,Best Western Sicamous Inn
187,Kruisfontein,ZA,50.0,clear sky,-34.0,24.73,Oyster Bay House Rental
188,Potiskum,NG,73.4,overcast clouds,11.71,11.07,Tamir Hotel Ltd
189,Dingle,PH,73.9,light rain,11.0,122.67,Camp Pasica
191,Tuatapere,NZ,46.99,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
193,Zhuhai,CN,82.4,light rain,22.28,113.57,珠海粤财假日酒店
194,Turbat,PK,85.17,few clouds,26.0,63.04,Mubashar Quarters
195,Sibolga,ID,80.89,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
196,Callaway,US,77.0,heavy intensity rain,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
198,Kodiak,US,62.6,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
199,Cherskiy,RU,51.12,broken clouds,68.75,161.3,Gostinitsa
200,Tual,ID,78.08,scattered clouds,-5.67,132.75,Grand Vilia Hotel
201,Erzin,TR,81.0,clear sky,36.96,36.2,Artemis Otel
202,Esfarayen,IR,53.6,clear sky,37.08,57.51,Mellat
203,Maturin,VE,76.42,broken clouds,9.75,-63.18,Residencias Guaritos I
204,Lakatoro,VU,82.4,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
205,Ucluelet,CA,59.0,moderate rain,48.93,-125.55,Black Rock Oceanfront Resort
206,Chunskiy,RU,47.98,few clouds,56.08,99.63,Odisseya
208,Port Elizabeth,ZA,55.4,light rain,-33.92,25.57,39 On Nile Guest House
209,Ancud,CL,49.33,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
211,Kaitangata,NZ,46.99,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
212,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
213,Hualmay,PE,60.75,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
215,Charters Towers,AU,79.25,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
217,Santos Reyes Nopala,MX,80.6,overcast clouds,16.11,-97.16,LA PLAZA DE MI PUEBLO
218,Adilcevaz,TR,53.6,clear sky,38.8,42.73,Adilcevaz Ogretmen Evi
220,Surt,LY,76.05,clear sky,31.21,16.59,City Hotel
221,Ishigaki,JP,86.0,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
222,Marawi,PH,82.0,overcast clouds,8.0,124.29,Derogongan Residence
223,Paamiut,GL,45.91,overcast clouds,61.99,-49.67,Yeet Hotel
224,Siderno,IT,77.0,scattered clouds,38.28,16.3,Grand Hotel President
227,Faya,SA,66.2,scattered clouds,18.39,42.45,مقبرة ال مجمل
228,Ponta Delgada,PT,64.4,few clouds,37.73,-25.67,Vila Nova Hotel
229,Namibe,AO,61.11,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
230,Katsuura,JP,80.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
233,Placido De Castro,BR,79.83,overcast clouds,-10.34,-67.19,Hotel Califórnia
234,Picayune,US,78.01,overcast clouds,30.53,-89.68,Holiday Inn Express & Suites Picayune
235,Fare,PF,79.39,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
236,Hofn,IS,47.28,overcast clouds,64.25,-15.21,Hótel Höfn
237,Vangaindrano,MG,66.38,light rain,-23.35,47.6,Hotel Fanilo
240,Ocampo,MX,62.22,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
241,Port Blair,IN,83.25,overcast clouds,11.67,92.75,Fortune Resort Bay Island
242,Reconquista,AR,52.07,overcast clouds,-29.15,-59.65,Grand Hotel
243,Lorengau,PG,85.01,heavy intensity rain,-2.02,147.27,Lorengau Harbourside Hotel
245,Aksu,CN,65.98,overcast clouds,41.12,80.26,Pudong Holiday Hotel
247,Fairbanks,US,53.6,light rain,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
248,Saint Anthony,US,75.2,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
249,Barmer,IN,85.3,scattered clouds,25.75,71.38,OYO 71911 Hotel Amber Palace
250,Kinshasa,CD,73.4,light rain,-4.32,15.32,Kabinda Center
252,Padang,ID,81.1,light rain,-0.95,100.35,Mercure Padang
253,Trairi,BR,77.34,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
254,Ribeira Grande,PT,66.69,overcast clouds,38.52,-28.7,Quinta da Meia Eira
256,Krasnyye Tkachi,RU,46.4,clear sky,57.49,39.76,Парк-отель Ярославль
257,Sorland,NO,51.49,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
260,Port Lincoln,AU,57.61,clear sky,-34.73,135.87,Port Lincoln Hotel
261,Nabire,ID,81.95,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
262,Vao,NC,69.01,clear sky,-22.67,167.48,Hotel Kou-Bugny
263,Cururupu,BR,74.68,broken clouds,-1.83,-44.87,Pousada Través'cia
267,Abu Dhabi,AE,87.8,clear sky,24.47,54.37,Beach Rotana
269,Geraldton,AU,62.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
270,Bafq,IR,58.89,clear sky,31.61,55.41,Alamdar Hotel
271,Dwarka,IN,82.62,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
272,Razdolinsk,RU,47.97,overcast clouds,58.42,94.67,"""U Nikolaicha"""
273,Caravelas,BR,71.1,clear sky,-17.71,-39.25,Pousada dos Navegantes
274,Calabozo,VE,76.64,scattered clouds,8.92,-67.43,Hotel Giardini
275,Fortuna,US,71.01,few clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
276,Aktau,KZ,60.8,clear sky,43.65,51.2,Silk Way Hotel
277,Totskoye,RU,45.79,clear sky,52.52,52.76,Gostinitsa
278,Gopalpur,IN,83.39,scattered clouds,19.27,84.92,Swosti Palm Resort
279,Jiexiu,CN,64.65,overcast clouds,37.02,111.91,IU Hotel Jinzhong Yuhua Road
280,Tanete,ID,83.28,clear sky,-3.94,119.78,Wisma Tri Multi
281,Gusau,NG,73.85,scattered clouds,12.16,6.66,Dr. Salisu Ibrahim
282,Santa Cruz,BO,71.6,broken clouds,-17.8,-63.17,Hotel Cortez
283,Turukhansk,RU,49.5,light rain,65.82,87.98,"ООО ""Туруханская пушнина"""
285,Tecpan,GT,68.0,overcast clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
288,Kalmunai,LK,80.33,overcast clouds,7.42,81.82,VS Villa
289,Key Biscayne,US,84.2,broken clouds,25.69,-80.16,"The Ritz-Carlton Key Biscayne, Miami"
290,Axim,GH,74.35,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
291,Coquimbo,CL,53.6,clear sky,-29.95,-71.34,Hotel San Juan
292,Zhigansk,RU,48.54,broken clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
293,Odienne,CI,70.99,light rain,9.51,-7.57,Oustaz Vame DIAKITE
294,Hobyo,SO,77.56,scattered clouds,5.35,48.53,Osmani Hotel
295,Cockburn Town,TC,83.44,overcast clouds,21.46,-71.14,Osprey Beach Hotel
296,Seoul,KR,73.4,haze,37.57,126.98,LOTTE HOTEL SEOUL
297,Aljezur,PT,64.99,clear sky,37.32,-8.8,Amazigh Hostel
299,Raska,RS,57.2,clear sky,43.29,20.62,Konak Lux Hotel
301,Torrington,US,62.01,clear sky,41.8,-73.12,The Yankee Pedlar Inn
302,Nouakchott,MR,84.2,clear sky,18.09,-15.98,Hôtel Iman
303,Ciudad Bolivar,VE,83.37,clear sky,8.12,-63.55,Hotel Edi
304,Cantel,GT,68.0,overcast clouds,14.82,-91.45,Hotel del Campo
306,Kualakapuas,ID,80.6,few clouds,-3.01,114.39,Guest House Izonk
