Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Surgut,RU,61.25,73.42,53.6,76,100,8.95,overcast clouds
83,Roma,US,43.21,-75.46,53.6,66,1,6.08,clear sky
84,Richards Bay,ZA,-28.78,32.04,66.56,75,100,7.25,overcast clouds
85,Mayo,US,38.89,-76.51,73.0,60,1,8.05,clear sky
86,Puerto Quijarro,BO,-17.78,-57.77,84.11,53,0,9.53,clear sky
87,Escalerillas,MX,22.13,-101.07,64.4,82,75,5.82,broken clouds
88,Lima,PE,-12.04,-77.03,60.8,82,90,9.17,overcast clouds
89,Ulladulla,AU,-35.35,150.47,64.99,63,40,10.29,scattered clouds
90,Norman Wells,CA,65.28,-126.83,50.0,53,75,18.34,broken clouds
91,New Norfolk,AU,-42.78,147.06,57.99,62,100,7.0,overcast clouds
92,Lebu,CL,-37.62,-73.65,50.88,85,0,20.62,clear sky
93,Kapaa,US,22.08,-159.32,87.8,55,1,9.17,clear sky
94,Port Alfred,ZA,-33.59,26.89,55.04,69,7,17.29,clear sky
95,Komsomolskiy,UZ,40.43,71.72,66.2,45,0,6.93,clear sky
96,Alofi,NU,-19.06,-169.92,77.0,73,75,14.99,broken clouds
97,Bokaro,IN,23.78,85.97,80.49,86,96,3.58,overcast clouds
98,Khatanga,RU,71.97,102.5,50.92,72,52,3.89,broken clouds
99,Shetpe,KZ,44.17,52.12,60.22,67,0,6.91,clear sky
100,Iranshahr,IR,27.2,60.68,75.2,12,0,6.93,clear sky
101,Innisfail,AU,-17.53,146.03,70.0,77,83,5.99,light rain
102,Mahebourg,MU,-20.41,57.7,68.0,68,75,14.99,broken clouds
103,Bredasdorp,ZA,-34.53,20.04,41.0,86,100,1.12,overcast clouds
104,Zhanaozen,KZ,43.3,52.8,59.45,65,0,8.46,clear sky
105,Astana,KZ,51.18,71.45,55.4,58,0,13.42,clear sky
106,Cam Ranh,VN,11.92,109.16,86.0,74,20,2.24,few clouds
107,Nizwa,OM,22.93,57.53,80.78,28,100,3.02,overcast clouds
108,Santiago Del Estero,AR,-27.8,-64.26,61.32,30,100,9.26,overcast clouds
109,Fort Nelson,CA,58.81,-122.7,50.0,61,20,8.05,few clouds
110,Bambous Virieux,MU,-20.34,57.76,68.0,68,75,14.99,broken clouds
111,Samarinda,ID,-0.5,117.15,78.89,88,98,5.35,overcast clouds
112,Punta Arenas,CL,-53.15,-70.92,35.6,93,58,25.28,light rain
113,Yarmouth,US,41.71,-70.23,66.2,68,1,9.17,clear sky
114,Galesong,ID,-5.32,119.37,84.2,42,20,2.24,few clouds
115,Port Hedland,AU,-20.32,118.57,87.8,23,97,3.36,overcast clouds
116,Upernavik,GL,72.79,-56.15,27.34,82,0,6.62,clear sky
117,Thompson,CA,55.74,-97.86,42.8,87,75,2.24,broken clouds
118,Tiassale,CI,5.9,-4.83,71.62,97,85,2.06,overcast clouds
119,Luderitz,NA,-26.65,15.16,53.62,74,0,15.7,clear sky
120,Warrnambool,AU,-38.38,142.48,55.0,78,38,4.0,scattered clouds
121,Nanakuli,US,21.39,-158.15,87.8,55,1,12.75,clear sky
122,Victor Harbor,AU,-35.57,138.62,57.99,73,14,5.06,few clouds
123,Gushikawa,JP,26.35,127.87,84.2,74,75,4.7,broken clouds
124,Lata,PT,40.16,-8.33,66.99,94,6,2.1,clear sky
125,Sorong,ID,-0.88,131.25,81.21,79,27,9.17,scattered clouds
126,Barra Do Garcas,BR,-15.89,-52.26,76.89,30,0,1.61,clear sky
127,Hobart,AU,-42.88,147.33,59.0,44,40,23.04,scattered clouds
128,Sao Filipe,CV,14.9,-24.5,78.91,84,100,7.76,overcast clouds
129,Puerto Escondido,MX,15.85,-97.07,80.6,65,90,2.95,overcast clouds
130,Qeshm,IR,26.96,56.27,78.8,50,0,2.24,clear sky
131,Huilong,CN,31.81,121.66,73.0,94,100,1.01,moderate rain
132,Zalantun,CN,48.0,122.72,57.47,60,100,4.97,overcast clouds
133,Albany,US,42.6,-73.97,57.0,46,0,1.01,clear sky
134,Cayenne,GF,4.93,-52.33,78.8,94,0,5.03,clear sky
135,Pacific Grove,US,36.62,-121.92,64.99,72,40,8.05,smoke
136,Nesbyen,NO,60.57,9.1,53.01,95,64,1.01,broken clouds
137,Bethel,US,41.37,-73.41,60.01,57,0,1.99,clear sky
138,Yelizovo,RU,53.19,158.38,62.6,33,0,17.9,clear sky
139,Georgetown,MY,5.41,100.34,77.0,94,20,3.36,few clouds
140,San Policarpo,PH,12.18,125.51,83.52,78,100,8.59,overcast clouds
141,Hailey,US,43.52,-114.32,82.4,13,5,11.41,smoke
142,Kenai,US,60.55,-151.26,57.99,58,1,5.82,clear sky
143,Longyearbyen,SJ,78.22,15.64,35.6,95,75,8.05,light rain
144,Puerto Ayora,EC,-0.74,-90.35,66.99,89,80,4.0,broken clouds
