City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Carnarvon,AU,2020-08-30 20:13:50,-24.87,113.63,57.2,100,0,6.93
70,Sorong,ID,2020-08-30 20:13:51,-0.88,131.25,77.07,90,14,7.05
71,Seoul,KR,2020-08-30 20:13:18,37.57,126.98,75.2,83,1,4.61
72,Mildura,AU,2020-08-30 20:13:52,-34.2,142.15,41.0,93,0,6.93
73,Jensen Beach,US,2020-08-30 20:13:52,27.25,-80.23,91.4,52,40,16.11
74,Upernavik,GL,2020-08-30 20:13:52,72.79,-56.15,41.43,82,100,10.83
75,Bilma,NE,2020-08-30 20:13:52,18.69,12.92,90.23,39,0,9.46
76,Lebu,CL,2020-08-30 20:13:53,-37.62,-73.65,50.0,68,0,26.44
77,Teknaf,BD,2020-08-30 20:13:53,20.86,92.31,79.7,89,100,1.83
78,Point Pleasant,US,2020-08-30 20:13:54,40.08,-74.07,81.0,47,40,13.87
79,Bengkulu,ID,2020-08-30 20:13:54,-3.8,102.27,76.08,85,100,2.91
80,Khatanga,RU,2020-08-30 20:13:54,71.97,102.5,44.37,90,96,7.43
81,Deputatskiy,RU,2020-08-30 20:12:10,69.3,139.9,30.72,99,54,2.66
82,Saryozek,KZ,2020-08-30 20:13:55,44.36,77.98,64.17,38,0,2.15
83,Victor Harbor,AU,2020-08-30 20:13:55,-35.57,138.62,52.0,72,96,7.49
84,Kamaishi,JP,2020-08-30 20:13:56,39.27,141.88,70.3,89,100,8.88
85,Beringovskiy,RU,2020-08-30 20:13:56,63.05,179.32,45.7,82,100,29.39
86,Muros,ES,2020-08-30 20:13:56,42.78,-9.06,63.0,68,1,5.99
87,Qaanaaq,GL,2020-08-30 20:13:57,77.48,-69.36,34.0,77,0,4.56
88,Airai,TL,2020-08-30 20:13:57,-8.93,125.41,56.48,100,9,4.14
89,Vardo,NO,2020-08-30 20:13:57,70.37,31.11,48.2,87,75,17.22
90,Matara,LK,2020-08-30 20:13:58,5.95,80.54,79.39,85,54,10.42
91,Fomboni,KM,2020-08-30 20:13:58,-12.28,43.74,76.6,66,0,3.89
92,Basoko,CD,2020-08-30 20:13:58,1.24,23.62,72.91,92,100,2.06
93,Mar Del Plata,AR,2020-08-30 20:13:59,-38.0,-57.56,59.0,28,0,20.8
94,Tivaouane,SN,2020-08-30 20:13:59,14.95,-16.81,82.4,83,20,3.36
95,Mercedes,AR,2020-08-30 20:14:00,-34.65,-59.43,60.01,39,76,1.99
96,Hermanus,ZA,2020-08-30 20:14:00,-34.42,19.23,41.0,91,1,12.26
97,Atuona,PF,2020-08-30 20:14:00,-9.8,-139.03,78.1,80,49,20.98
98,Talnakh,RU,2020-08-30 20:14:01,69.49,88.4,46.4,100,90,13.42
99,Leningradskiy,RU,2020-08-30 20:14:01,69.38,178.42,35.6,92,100,7.07
100,Arraial Do Cabo,BR,2020-08-30 20:14:01,-22.97,-42.03,82.4,65,0,14.99
101,Aranos,NA,2020-08-30 20:14:02,-24.13,19.12,43.92,53,0,11.9
102,Luderitz,NA,2020-08-30 20:14:02,-26.65,15.16,56.55,39,85,28.1
103,Barrow,US,2020-08-30 20:14:02,71.29,-156.79,39.2,93,90,14.99
104,Tual,ID,2020-08-30 20:14:03,-5.67,132.75,79.02,86,52,14.03
105,Hasaki,JP,2020-08-30 20:14:03,35.73,140.83,77.0,94,75,2.24
